ff49,ff49_str,sic1,sic2
1,Agric,0100,0199
1,Agric,0200,0299
1,Agric,0700,0799
1,Agric,0910,0919
1,Agric,2048,2048
2,Food,2000,2009
2,Food,2010,2019
2,Food,2020,2029
2,Food,2030,2039
2,Food,2040,2046
2,Food,2050,2059
2,Food,2060,2063
2,Food,2070,2079
2,Food,2090,2092
2,Food,2095,2095
2,Food,2098,2099
3,Soda,2064,2068
3,Soda,2086,2086
3,Soda,2087,2087
3,Soda,2096,2096
3,Soda,2097,2097
4,Beer,2080,2080
4,Beer,2082,2082
4,Beer,2083,2083
4,Beer,2084,2084
4,Beer,2085,2085
5,Smoke,2100,2199
6,Toys,0920,0999
6,Toys,3650,3651
6,Toys,3652,3652
6,Toys,3732,3732
6,Toys,3930,3931
6,Toys,3940,3949
7,Fun,7800,7829
7,Fun,7830,7833
7,Fun,7840,7841
7,Fun,7900,7900
7,Fun,7910,7911
7,Fun,7920,7929
7,Fun,7930,7933
7,Fun,7940,7949
7,Fun,7980,7980
7,Fun,7990,7999
8,Books,2700,2709
8,Books,2710,2719
8,Books,2720,2729
8,Books,2730,2739
8,Books,2740,2749
8,Books,2770,2771
8,Books,2780,2789
8,Books,2790,2799
9,Hshld,2047,2047
9,Hshld,2391,2392
9,Hshld,2510,2519
9,Hshld,2590,2599
9,Hshld,2840,2843
9,Hshld,2844,2844
9,Hshld,3160,3161
9,Hshld,3170,3171
9,Hshld,3172,3172
9,Hshld,3190,3199
9,Hshld,3229,3229
9,Hshld,3260,3260
9,Hshld,3262,3263
9,Hshld,3269,3269
9,Hshld,3230,3231
9,Hshld,3630,3639
9,Hshld,3750,3751
9,Hshld,3800,3800
9,Hshld,3860,3861
9,Hshld,3870,3873
9,Hshld,3910,3911
9,Hshld,3914,3914
9,Hshld,3915,3915
9,Hshld,3960,3962
9,Hshld,3991,3991
9,Hshld,3995,3995
10,Clths,2300,2390
10,Clths,3020,3021
10,Clths,3100,3111
10,Clths,3130,3131
10,Clths,3140,3149
10,Clths,3150,3151
10,Clths,3963,3965
11,Hlth,8000,8099
12,MedEq,3693,3693
12,MedEq,3840,3849
12,MedEq,3850,3851
13,Drugs,2830,2830
13,Drugs,2831,2831
13,Drugs,2833,2833
13,Drugs,2834,2834
13,Drugs,2835,2835
13,Drugs,2836,2836
14,Chems,2800,2809
14,Chems,2810,2819
14,Chems,2820,2829
14,Chems,2850,2859
14,Chems,2860,2869
14,Chems,2870,2879
14,Chems,2890,2899
15,Rubbr,3031,3031
15,Rubbr,3041,3041
15,Rubbr,3050,3053
15,Rubbr,3060,3069
15,Rubbr,3070,3079
15,Rubbr,3080,3089
15,Rubbr,3090,3099
16,Txtls,2200,2269
16,Txtls,2270,2279
16,Txtls,2280,2284
16,Txtls,2290,2295
16,Txtls,2297,2297
16,Txtls,2298,2298
16,Txtls,2299,2299
16,Txtls,2393,2395
16,Txtls,2397,2399
17,BldMt,0800,0899
17,BldMt,2400,2439
17,BldMt,2450,2459
17,BldMt,2490,2499
17,BldMt,2660,2661
17,BldMt,2950,2952
17,BldMt,3200,3200
17,BldMt,3210,3211
17,BldMt,3240,3241
17,BldMt,3250,3259
17,BldMt,3261,3261
17,BldMt,3264,3264
17,BldMt,3270,3275
17,BldMt,3280,3281
17,BldMt,3290,3293
17,BldMt,3295,3299
17,BldMt,3420,3429
17,BldMt,3430,3433
17,BldMt,3440,3441
17,BldMt,3442,3442
17,BldMt,3446,3446
17,BldMt,3448,3448
17,BldMt,3449,3449
17,BldMt,3450,3451
17,BldMt,3452,3452
17,BldMt,3490,3499
17,BldMt,3996,3996
18,Cnstr,1500,1511
18,Cnstr,1520,1529
18,Cnstr,1530,1539
18,Cnstr,1540,1549
18,Cnstr,1600,1699
18,Cnstr,1700,1799
19,Steel,3300,3300
19,Steel,3310,3317
19,Steel,3320,3325
19,Steel,3330,3339
19,Steel,3340,3341
19,Steel,3350,3357
19,Steel,3360,3369
19,Steel,3370,3379
19,Steel,3390,3399
20,FabPr,3400,3400
20,FabPr,3443,3443
20,FabPr,3444,3444
20,FabPr,3460,3469
20,FabPr,3470,3479
21,Mach,3510,3519
21,Mach,3520,3529
21,Mach,3530,3530
21,Mach,3531,3531
21,Mach,3532,3532
21,Mach,3533,3533
21,Mach,3534,3534
21,Mach,3535,3535
21,Mach,3536,3536
21,Mach,3538,3538
21,Mach,3540,3549
21,Mach,3550,3559
21,Mach,3560,3569
21,Mach,3580,3580
21,Mach,3581,3581
21,Mach,3582,3582
21,Mach,3585,3585
21,Mach,3586,3586
21,Mach,3589,3589
21,Mach,3590,3599
22,ElcEq,3600,3600
22,ElcEq,3610,3613
22,ElcEq,3620,3621
22,ElcEq,3623,3629
22,ElcEq,3640,3644
22,ElcEq,3645,3645
22,ElcEq,3646,3646
22,ElcEq,3648,3649
22,ElcEq,3660,3660
22,ElcEq,3690,3690
22,ElcEq,3691,3692
22,ElcEq,3699,3699
23,Autos,2296,2296
23,Autos,2396,2396
23,Autos,3010,3011
23,Autos,3537,3537
23,Autos,3647,3647
23,Autos,3694,3694
23,Autos,3700,3700
23,Autos,3710,3710
23,Autos,3711,3711
23,Autos,3713,3713
23,Autos,3714,3714
23,Autos,3715,3715
23,Autos,3716,3716
23,Autos,3792,3792
23,Autos,3790,3791
23,Autos,3799,3799
24,Aero,3720,3720
24,Aero,3721,3721
24,Aero,3723,3724
24,Aero,3725,3725
24,Aero,3728,3729
25,Ships,3730,3731
25,Ships,3740,3743
26,Guns,3760,3769
26,Guns,3795,3795
26,Guns,3480,3489
27,Gold,1040,1049
28,Mines,1000,1009
28,Mines,1010,1019
28,Mines,1020,1029
28,Mines,1030,1039
28,Mines,1050,1059
28,Mines,1060,1069
28,Mines,1070,1079
28,Mines,1080,1089
28,Mines,1090,1099
28,Mines,1100,1119
28,Mines,1400,1499
29,Coal,1200,1299
30,Oil,1300,1300
30,Oil,1310,1319
30,Oil,1320,1329
30,Oil,1330,1339
30,Oil,1370,1379
30,Oil,1380,1380
30,Oil,1381,1381
30,Oil,1382,1382
30,Oil,1389,1389
30,Oil,2900,2912
30,Oil,2990,2999
31,Util,4900,4900
31,Util,4910,4911
31,Util,4920,4922
31,Util,4923,4923
31,Util,4924,4925
31,Util,4930,4931
31,Util,4932,4932
31,Util,4939,4939
31,Util,4940,4942
32,Telcm,4800,4800
32,Telcm,4810,4813
32,Telcm,4820,4822
32,Telcm,4830,4839
32,Telcm,4840,4841
32,Telcm,4880,4889
32,Telcm,4890,4890
32,Telcm,4891,4891
32,Telcm,4892,4892
32,Telcm,4899,4899
33,PerSv,7020,7021
33,PerSv,7030,7033
33,PerSv,7200,7200
33,PerSv,7210,7212
33,PerSv,7214,7214
33,PerSv,7215,7216
33,PerSv,7217,7217
33,PerSv,7219,7219
33,PerSv,7220,7221
33,PerSv,7230,7231
33,PerSv,7240,7241
33,PerSv,7250,7251
33,PerSv,7260,7269
33,PerSv,7270,7290
33,PerSv,7291,7291
33,PerSv,7292,7299
33,PerSv,7395,7395
33,PerSv,7500,7500
33,PerSv,7520,7529
33,PerSv,7530,7539
33,PerSv,7540,7549
33,PerSv,7600,7600
33,PerSv,7620,7620
33,PerSv,7622,7622
33,PerSv,7623,7623
33,PerSv,7629,7629
33,PerSv,7630,7631
33,PerSv,7640,7641
33,PerSv,7690,7699
33,PerSv,8100,8199
33,PerSv,8200,8299
33,PerSv,8300,8399
33,PerSv,8400,8499
33,PerSv,8600,8699
33,PerSv,8800,8899
33,PerSv,7510,7515
34,BusSv,2750,2759
34,BusSv,3993,3993
34,BusSv,7218,7218
34,BusSv,7300,7300
34,BusSv,7310,7319
34,BusSv,7320,7329
34,BusSv,7330,7339
34,BusSv,7340,7342
34,BusSv,7349,7349
34,BusSv,7350,7351
34,BusSv,7352,7352
34,BusSv,7353,7353
34,BusSv,7359,7359
34,BusSv,7360,7369
34,BusSv,7374,7374
34,BusSv,7376,7376
34,BusSv,7377,7377
34,BusSv,7378,7378
34,BusSv,7379,7379
34,BusSv,7380,7380
34,BusSv,7381,7382
34,BusSv,7383,7383
34,BusSv,7384,7384
34,BusSv,7385,7385
34,BusSv,7389,7390
34,BusSv,7391,7391
34,BusSv,7392,7392
34,BusSv,7393,7393
34,BusSv,7394,7394
34,BusSv,7396,7396
34,BusSv,7397,7397
34,BusSv,7399,7399
34,BusSv,7519,7519
34,BusSv,8700,8700
34,BusSv,8710,8713
34,BusSv,8720,8721
34,BusSv,8730,8734
34,BusSv,8740,8748
34,BusSv,8900,8910
34,BusSv,8911,8911
34,BusSv,8920,8999
34,BusSv,4220,4229
35,Hardw,3570,3579
35,Hardw,3680,3680
35,Hardw,3681,3681
35,Hardw,3682,3682
35,Hardw,3683,3683
35,Hardw,3684,3684
35,Hardw,3685,3685
35,Hardw,3686,3686
35,Hardw,3687,3687
35,Hardw,3688,3688
35,Hardw,3689,3689
35,Hardw,3695,3695
36,Softw,7370,7372
36,Softw,7375,7375
36,Softw,7373,7373
37,Chips,3622,3622
37,Chips,3661,3661
37,Chips,3662,3662
37,Chips,3663,3663
37,Chips,3664,3664
37,Chips,3665,3665
37,Chips,3666,3666
37,Chips,3669,3669
37,Chips,3670,3679
37,Chips,3810,3810
37,Chips,3812,3812
38,LabEq,3811,3811
38,LabEq,3820,3820
38,LabEq,3821,3821
38,LabEq,3822,3822
38,LabEq,3823,3823
38,LabEq,3824,3824
38,LabEq,3825,3825
38,LabEq,3826,3826
38,LabEq,3827,3827
38,LabEq,3829,3829
38,LabEq,3830,3839
39,Paper,2520,2549
39,Paper,2600,2639
39,Paper,2670,2699
39,Paper,2760,2761
39,Paper,3950,3955
40,Boxes,2440,2449
40,Boxes,2640,2659
40,Boxes,3220,3221
40,Boxes,3410,3412
41,Trans,4000,4013
41,Trans,4040,4049
41,Trans,4100,4100
41,Trans,4110,4119
41,Trans,4120,4121
41,Trans,4130,4131
41,Trans,4140,4142
41,Trans,4150,4151
41,Trans,4170,4173
41,Trans,4190,4199
41,Trans,4200,4200
41,Trans,4210,4219
41,Trans,4230,4231
41,Trans,4240,4249
41,Trans,4400,4499
41,Trans,4500,4599
41,Trans,4600,4699
41,Trans,4700,4700
41,Trans,4710,4712
41,Trans,4720,4729
41,Trans,4730,4739
41,Trans,4740,4749
41,Trans,4780,4780
41,Trans,4782,4782
41,Trans,4783,4783
41,Trans,4784,4784
41,Trans,4785,4785
41,Trans,4789,4789
42,Whlsl,5000,5000
42,Whlsl,5010,5015
42,Whlsl,5020,5023
42,Whlsl,5030,5039
42,Whlsl,5040,5042
42,Whlsl,5043,5043
42,Whlsl,5044,5044
42,Whlsl,5045,5045
42,Whlsl,5046,5046
42,Whlsl,5047,5047
42,Whlsl,5048,5048
42,Whlsl,5049,5049
42,Whlsl,5050,5059
42,Whlsl,5060,5060
42,Whlsl,5063,5063
42,Whlsl,5064,5064
42,Whlsl,5065,5065
42,Whlsl,5070,5078
42,Whlsl,5080,5080
42,Whlsl,5081,5081
42,Whlsl,5082,5082
42,Whlsl,5083,5083
42,Whlsl,5084,5084
42,Whlsl,5085,5085
42,Whlsl,5086,5087
42,Whlsl,5088,5088
42,Whlsl,5090,5090
42,Whlsl,5091,5092
42,Whlsl,5093,5093
42,Whlsl,5094,5094
42,Whlsl,5099,5099
42,Whlsl,5100,5100
42,Whlsl,5110,5113
42,Whlsl,5120,5122
42,Whlsl,5130,5139
42,Whlsl,5140,5149
42,Whlsl,5150,5159
42,Whlsl,5160,5169
42,Whlsl,5170,5172
42,Whlsl,5180,5182
42,Whlsl,5190,5199
43,Rtail,5200,5200
43,Rtail,5210,5219
43,Rtail,5220,5229
43,Rtail,5230,5231
43,Rtail,5250,5251
43,Rtail,5260,5261
43,Rtail,5270,5271
43,Rtail,5300,5300
43,Rtail,5310,5311
43,Rtail,5320,5320
43,Rtail,5330,5331
43,Rtail,5334,5334
43,Rtail,5340,5349
43,Rtail,5390,5399
43,Rtail,5400,5400
43,Rtail,5410,5411
43,Rtail,5412,5412
43,Rtail,5420,5429
43,Rtail,5430,5439
43,Rtail,5440,5449
43,Rtail,5450,5459
43,Rtail,5460,5469
43,Rtail,5490,5499
43,Rtail,5500,5500
43,Rtail,5510,5529
43,Rtail,5530,5539
43,Rtail,5540,5549
43,Rtail,5550,5559
43,Rtail,5560,5569
43,Rtail,5570,5579
43,Rtail,5590,5599
43,Rtail,5600,5699
43,Rtail,5700,5700
43,Rtail,5710,5719
43,Rtail,5720,5722
43,Rtail,5730,5733
43,Rtail,5734,5734
43,Rtail,5735,5735
43,Rtail,5736,5736
43,Rtail,5750,5799
43,Rtail,5900,5900
43,Rtail,5910,5912
43,Rtail,5920,5929
43,Rtail,5930,5932
43,Rtail,5940,5940
43,Rtail,5941,5941
43,Rtail,5942,5942
43,Rtail,5943,5943
43,Rtail,5944,5944
43,Rtail,5945,5945
43,Rtail,5946,5946
43,Rtail,5947,5947
43,Rtail,5948,5948
43,Rtail,5949,5949
43,Rtail,5950,5959
43,Rtail,5960,5969
43,Rtail,5970,5979
43,Rtail,5980,5989
43,Rtail,5990,5990
43,Rtail,5992,5992
43,Rtail,5993,5993
43,Rtail,5994,5994
43,Rtail,5995,5995
43,Rtail,5999,5999
44,Meals,5800,5819
44,Meals,5820,5829
44,Meals,5890,5899
44,Meals,7000,7000
44,Meals,7010,7019
44,Meals,7040,7049
44,Meals,7213,7213
45,Banks,6000,6000
45,Banks,6010,6019
45,Banks,6020,6020
45,Banks,6021,6021
45,Banks,6022,6022
45,Banks,6023,6024
45,Banks,6025,6025
45,Banks,6026,6026
45,Banks,6027,6027
45,Banks,6028,6029
45,Banks,6030,6036
45,Banks,6040,6059
45,Banks,6060,6062
45,Banks,6080,6082
45,Banks,6090,6099
45,Banks,6100,6100
45,Banks,6110,6111
45,Banks,6112,6113
45,Banks,6120,6129
45,Banks,6130,6139
45,Banks,6140,6149
45,Banks,6150,6159
45,Banks,6160,6169
45,Banks,6170,6179
45,Banks,6190,6199
46,Insur,6300,6300
46,Insur,6310,6319
46,Insur,6320,6329
46,Insur,6330,6331
46,Insur,6350,6351
46,Insur,6360,6361
46,Insur,6370,6379
46,Insur,6390,6399
46,Insur,6400,6411
47,RlEst,6500,6500
47,RlEst,6510,6510
47,RlEst,6512,6512
47,RlEst,6513,6513
47,RlEst,6514,6514
47,RlEst,6515,6515
47,RlEst,6517,6519
47,RlEst,6520,6529
47,RlEst,6530,6531
47,RlEst,6532,6532
47,RlEst,6540,6541
47,RlEst,6550,6553
47,RlEst,6590,6599
47,RlEst,6610,6611
48,Fin,6200,6299
48,Fin,6700,6700
48,Fin,6710,6719
48,Fin,6720,6722
48,Fin,6723,6723
48,Fin,6724,6724
48,Fin,6725,6725
48,Fin,6726,6726
48,Fin,6730,6733
48,Fin,6740,6779
48,Fin,6790,6791
48,Fin,6792,6792
48,Fin,6793,6793
48,Fin,6794,6794
48,Fin,6795,6795
48,Fin,6798,6798
48,Fin,6799,6799
49,Other,4950,4959
49,Other,4960,4961
49,Other,4970,4971
49,Other,4990,4991
